Box	DaysSinceMeta	FirstNight	MetaDate	MovesFirstWeek	MovtRate	Net_Dist	PhotoDate	Photo	Run_Assgnmt	Cohort	Total_Dist	TotalMoves	TotDistFirstWk	TotRecaps	Init_Mass	Density	Year	RecapsFirstWeek	NetDistFirstWk	Species	TagSize
18-A	6	11.65	05/21/2013	3	4.375714286	18.75	5/25/2013	2209	1	2.1	30.63	3	30.63	7	2.63	6	2013	7	18.75	AMAN	12
15-A	6	.57999999999999996	05/21/2013	1	0.195	0.58	5/25/2013	2132	5	2.1	0.78	1	0.78	4	2.72	6	2013	4	0.58	AMAN	12
20-A	6	7.92	05/21/2013	1	1.98	7.92	5/25/2013	2124	5	2.1	7.92	1	7.92	4	1.80	6	2013	4	7.92	AMAN	9
30	8	2.94	05/19/2013	3	4.827142857	33.43	5/25/2013	2145	1	2.1	33.79	3	33.79	7	2.42	6	2013	7	33.43	AMAN	12
48-A	6	45.94	05/21/2013	2	10.43	45.94	5/25/2013	2146	1	2.1	52.15	2	52.15	5	2.60	6	2013	5	45.94	AMAN	12
3-A	6	50	05/21/2013	2	12.19285714	50	5/25/2013	2204	7	2.1	85.35	2	85.35	6	2.54	6	2013	6	50	AMAN	12
23-B	6	35.14	05/21/2013	2	12.1175	48.03	5/25/2013	2046	2	2.1	48.47	2	48.47	4	1.68	18	2013	4	48.03	AMAN	9
50-A	6	.42	05/21/2013	3	17.77428571	42.08	5/25/2013	2050	1	2.1	124.42	3	124.42	7	2.92	6	2013	7	42.08	AMAN	12
23-A	6	.44	05/21/2013	4	18.01857143	49.62	5/25/2013	2100	2	2.1	126.13	4	126.13	7	1.46	18	2013	7	49.62	AMAN	9
31-A	6	3.36	05/21/2013	1	0.84	3.36	5/25/2013	2105	5	2.1	3.36	1	3.36	4	2.34	6	2013	4	3.36	AMAN	12
24	5	13.61	05/22/2013	2	3.731428571	13.61	5/25/2013	2057	5	2.1	26.12	2	26.12	5	1.95	6	2013	5	13.61	AMAN	12
41	5	11.01	05/22/2013	2	4.421428571	30.55	5/25/2013	2110	2	2.1	30.95	2	30.95	7	1.52	18	2013	7	30.55	AMAN	12
40-A	5	8.77	05/22/2013	4	8.382857143	37.17	5/25/2013	2122	7	2.1	58.68	4	58.68	7	2.25	6	2013	7	37.17	AMAN	12
23-F	6	1.31	05/21/2013	1	0.34	1.36	5/25/2013	2119	2	2.1	1.36	1	1.36	4	1.49	18	2013	4	1.36	AMAN	12
21-A	6	NA	05/21/2013				5/25/2013	2136	5	2.1					3.04	6	2013			AMAN	12
37-A	6	28.65	05/21/2013	2	7.748571429	28.65	5/25/2013	2133	5	2.1	54.24	2	54.24	5	3.08	6	2013	5	28.65	AMAN	12
17-A	6	50	05/21/2013	2	11.95857143	50	5/25/2013	2148	7	2.1	83.71	2	83.71	6	2.80	6	2013	6	50	AMAN	12
30-A	6	50.21	05/21/2013	4	12.35	50.36	5/25/2013	2150	1	2.1	86.45	4	86.45	7	2.15	6	2013	7	50.36	AMAN	12
10-A	6	37.24	05/21/2013	4	9.985714286	47.4	5/25/2013	2200	1	2.1	69.9	4	69.9	7	2.17	6	2013	7	47.4	AMAN	12
30-B	6	45.79	05/21/2013	2	8.887142857	45.79	5/25/2013	2203	7	2.1	62.21	2	62.21	6	2.56	6	2013	6	45.79	AMAN	12
17-B	6	22.78	05/21/2013	1	5.79	22.78	5/25/2013	2206	1	2.1	23.16	1	23.16	4	3.42	6	2013	4	22.78	AMAN	12
29-A	6	1.58	05/21/2013	2	5.98	29.9	5/25/2013	2210	1	2.1	29.9	2	29.9	4	2.00	6	2013	4	29.9	AMAN	12
40-B	5	NA	05/22/2013	0	2.0775	36.5	5/25/2013	NA	7	2.1	49.86	2		2	2.62	6	2013	0		AMAN	12
23	8	34.15	05/19/2013	3	7.402	34.15	5/25/2013	NA	7	2.1	37.01	3	37.01	5	1.26	18	2013	5	34.15	AMAN	9
25-D	5	NA	05/26/2013	2	9.054	44.19	5/29/2013	2037	2	2.2	45.27	2	45.27	4	1.66	18	2013	4	44.19	AMAN	9
15-A	7	4.72	05/24/2013	1	4.72	4.72	5/29/2013	2032	4	2.2	4.72	1	4.72	1	2.77	6	2013	1	4.72	AMAN	12
																				AMAN	
25-B	5	46.47	05/26/2013	2	7.23	46.47	5/29/2013	2056	2	2.2	79.53	3	79.53	9	1.69	18	2013	5	46.47	AMAN	12
																				AMAN	
19-A	5	15.22	05/26/2013	3	13.54	49.34	5/29/2013	2101	2	2.2	94.78	3	94.78	6	1.30	18	2013	6	49.34	AMAN	9
19-E	5	43.22	05/26/2013	1	7.2275	43.22	5/29/2013	2109	6	2.2	57.82	2	57.82	2	1.51	18	2013	1	43.22	AMAN	9
7-B	5	17.96	05/26/2013	1	17.96	17.96	5/29/2013	2113	2	2.2	17.96	1	17.96	1	1.57	18	2013	1	17.96	AMAN	9
19-B	5	NA	05/26/2013	4	10.07142857	48.84	5/29/2013	2126	2	2.2	70.5	4	70.5	6	1.09	18	2013	6	48.84	AMAN	8
34	5	12.71	05/26/2013	1	12.71	12.71	5/29/2013	2139	2	2.2	12.71	1	12.71	1	1.39	18	2013	1	12.71	AMAN	9
																				AMAN	
25-A	5	NA	05/26/2013	2	7.1	49.2	5/29/2013	2144	6	2.2	49.7	2	49.7	5	1.62	18	2013	5	49.2	AMAN	9
29-B	7	49.57	05/24/2013	3	11.695	49.57	5/29/2013	2207	8	2.2	70.17	3	70.17	6	2.03	6	2013	6	49.57	AMAN	12
25-E	5	NA	05/26/2013				5/29/2013	2213	6	2.2					1.57	18	2013			AMAN	9
39-A	5	46.93	05/26/2013	3	9.807142857	46.93	5/29/2013	2219	8	2.2	68.65	3	68.65	7	2.33	6	2013	7	46.93	AMAN	12
																				AMAN	
17-A	7	NA	05/24/2013				5/29/2013	2227	8	2.2					3.48	6	2013			AMAN	12
25-E	5	NA	05/26/2013	2	1.629130435	26.32	5/29/2013	2232	6	2.2	37.47	3		3	1.47	18	2013	2		AMAN	9
12-E	5	1.46	05/26/2013	1	1.46	1.46	5/29/2013	2238	6	2.2	1.46	1	1.46	1	1.86	18	2013	1	1.46	AMAN	9
7-D	5	41.59	05/26/2013	3	13.22571429	47.4	5/29/2013	2247	6	2.2	92.58	3	92.58	7	2.07	18	2013	7	47.4	AMAN	12
12-B	5	NA	05/26/2013	1	0.64	1.28	5/29/2013	2251	6	2.2	1.28	1	1.28	1	1.37	18	2013	1	1.28	AMAN	9
																				AMAN	
7-A	5	48.77	05/26/2013	1	48.77	48.77	5/29/2013	2249	6	2.2	48.77	1	48.77	1	1.65	18	2013	1	48.77	AMAN	9
33-A	5	22	05/26/2013	4	4.375714286	24.83	5/29/2013	2146	9	2.2	30.63	4	30.63	7	2.73		2013	7	24.83		12
31-A	5	31.35	05/26/2013	5	8.531428571	31.35	5/29/2013	2230	9	2.2	59.72	5	59.72	7	2.10	6	2013	7	31.35	AMAN	12
29-A	7	21.71	05/24/2013	4	3.511428571	22.85	5/29/2013	2206	9	2.2	24.58	4	24.58	6	1.95	6	2013	6	22.85	AMAN	12
22	5	16.14	05/26/2013	4	4.875714286	30.69	5/29/2013	2245	9	2.2	34.13	4	34.13	5	2.79	6	2013	5	30.69	AMAN	12
31-B	5	NA	05/26/2013	1	0.368333333	2.21	5/29/2013	2248	9	2.2	2.21	1	2.21	4	2.24	6	2013	4	2.21	AMAN	9
31-C	5	29.1	05/26/2013	3	4.54	30.44	5/29/2013	2136	9	2.2	31.78	3	31.78	7	1.95	6	2013	7	30.44	AMAN	12
50-A	7	12.91	05/24/2013	4	5.271428571	12.91	5/29/2013	2152	9	2.2	36.9	4	36.9	7	2.65	6	2013	7	12.91	AMAN	12
28-A	7	14.42	05/24/2013	1	2.884	14.42	5/29/2013	2257	6	2.2	14.42	1	14.42	1	1.87	18	2013	2	14.42	AMAN	9
31-A	7	31.35	05/24/2013	1	31.35	31.35	5/29/2013	2223	9	2.2	31.35	1	31.35	1	2.21	6	2013	1	31.35	AMAN	12
27-B	7	45.31	05/24/2013	3	9.334285714	46.05	5/29/2013	2228	9	2.2	65.34	3	65.34	7	3.18	6	2013	7	46.05	AMAN	12
7-C	5	NA	05/26/2013				5/29/2013	2242	6	2.2					1.89	18	2013			AMAN	12
48-A	7	15.03	05/24/2013	1	15.03	15.03	5/29/2013	2209	8	2.2	15.03	1	15.03	1	2.37	6	2013	1	15.03	AMAN	12
21-A	7	NA	05/24/2013				5/29/2013	2214	8	2.2					3.14	6	2013			AMAN	12
40-A	5	30.3	05/26/2013	3	9.365714286	45.04	5/29/2013	2127	8	2.2	65.56	3	65.56	6	1.73	6	2013	7	45.04	AMAN	9
47-A	5	NA	05/26/2013				5/29/2013	2043	8	2.2					2.67	6	2013			AMAN	12
11-A	5	NA	05/26/2013				5/29/2013	2231	8	2.2					1.88	6	2013			AMAN	12
22-B	5	16.36	05/26/2013	2	6.927142857	48.49	5/29/2013	2130	8	2.2	48.49	2	48.49	6	2.90	6	2013	6	48.49	AMAN	12
39-A	7	30.34	05/24/2013	4	4.878571429	31.03	5/29/2013	2212	9	2.2	34.15	4	34.15	5	2.41	6	2013	5	31.03	AMAN	12
21-B	7	NA	05/24/2013				5/29/2013	2058	4	2.2					2.94	6	2013			AMAN	12
3	5	0	05/26/2013	2	0.662352941	5.53	5/29/2013	2148	4	2.2	11.26	2	11.26	12	2.03	6	2013	6	5.53	AMAN	12
24-A	7	NA	05/24/2013				5/29/2013	2140	4	2.2					2.43	6	2013			AMAN	12
40-A	7	NA	05/24/2013				5/29/2013	2120	4	2.2					2.23	6	2013			AMAN	12
15-A	7	NA	05/24/2013				5/29/2013	2107	4	2.2					2.74	6	2013			AMAN	12
																				AMAN	
26-A	7	NA	05/24/2013				5/29/2013	2039	4	2.2					3.10	6	2013			AMAN	12
18-A	7	NA	05/24/2013				5/29/2013	2105	4	2.2					3.02	6	2013			AMAN	12
30-C	7	NA	05/24/2013				5/29/2013	2102	4	2.2					2.82	6	2013			AMAN	12
43	5	3.01	05/26/2013	3	7.107142857	48.84	5/29/2013	2038	2	2.2	49.75	3	49.75	6	1.38	18	2013	6	48.84	AMAN	9
																				AMAN	
25-C	5	NA	05/26/2013				5/29/2013	2024	2	2.2					1.74	18	2013	1		AMAN	9
30-A	7	NA	05/24/2013				5/29/2013	2159	4	2.2					2.70	6	2013			AMAN	12
35-G	15	NA	06/01/2013	2	12.14571429	43.91	6/12/2015	1644	9	2.5	85.02	2	85.02	5	0.93	36	2013	5	43.91	AMAN	8
9-A	15	NA	06/01/2013	2	13.765	42.05	6/12/2015	1647	5	2.5	82.59	2	82.59	2	1.95	18	2013	2	42.05	AMAN	12
34-C	15	NA	06/01/2013				6/12/2015	1652	5	2.5					1.20	18	2013			AMAN	9
4-B	15	12.33	06/01/2013	1	12.33	12.33	6/12/2015	1653	9	2.5	12.33	1	12.33	1	0.68	36	2013	1	12.33	AMAN	8
13-C	15	NA	06/01/2013	2	5.494285714	29.96	6/12/2015	1701	9	2.5	38.46	2	38.46	3	0.85	36	2013	3	29.96	AMAN	8
12-A	15	NA	06/01/2013	0	6.02375	48.19	6/12/2015	1706	5	2.5	48.19	1		1	1.49	18	2013	0		AMAN	9
35-F	15	NA	06/01/2013	3	6.681428571	46.77	6/12/2015	1704	3	2.5	46.77	3	46.77	3	0.84	36	2013	3	46.77	AMAN	8
43-A	17	NA	05/30/2013	2	24.62	29.63	6/12/2015	1712	7	2.5	49.24	2	49.24	2	1.21	18	2013	2	29.63	AMAN	9
35-A	15	NA	06/01/2013	3	4.288571429	28.34	6/12/2015	1709	9	2.5	30.02	3	30.02	5	0.86	36	2013	5	28.34	AMAN	8
43-C	15	NA	06/01/2013				6/12/2015	1718	5	2.5					1.26	18	2013			AMAN	9
6-A	11	NA	06/05/2013	5	21.12714286	49.69	6/12/2015	1716	3	2.5	147.89	5	147.89	7	1.29	36	2013	7	49.69	AMAN	9
7-B	17	NA	05/30/2013	5	14.23571429	49.78	6/14/2013	1722	7	2.5	99.65	5	99.65	7	1.64	18	2013	7	49.78	AMAN	9
35-B	15	NA	06/01/2013	2	6.694285714	25.96	6/12/2015	1725	9	2.5	46.86	2	46.86	5	0.99	36	2013	5	25.96	AMAN	8
28	17	NA	05/30/2013				6/12/2015	1728	5	2.5					1.78	18	2013			AMAN	9
9-C	17	NA	05/30/2013				6/12/2015	1735	5	2.5					1.73	18	2013			AMAN	12
35-A	13	NA	06/03/2013	3	12.55333333	43.75	6/12/2015	1737	3	2.5	75.32	3	75.32	4	0.84	36	2013	4	43.75	AMAN	8
38-B	11	NA	06/05/2013	3	4.411428571	26.66	6/12/2015	1741	9	2.5	30.88	3	30.88	7	1.34	36	2013	7	26.66	AMAN	9
25-A	15	NA	06/01/2013	1	24.795	49.59	6/12/2015	1740	5	2.5	49.59	1	49.59	1	1.35	18	2013	1	49.59	AMAN	9
19-A	15	NA	06/01/2013	4	9.111428571	49.78	6/12/2015	1749	7	2.5	63.78	4	63.78	6	1.15	18	2013	6	49.78	AMAN	9
38-A	11	NA	06/05/2013				6/12/2015	1751	9	2.5					1.28	36	2013			AMAN	9
38-D	11	NA	06/05/2013	4	3.878571429	25.44	6/12/2015	1754	9	2.5	27.15	4	27.15	7	1.42	36	2013	7	25.44	AMAN	9
7-D	17	NA	05/30/2013	2	3.708571429	16.72	6/12/2015	1800	7	2.5	25.96	2	25.96	7	1.64	18	2013	7	16.72	AMAN	9
4-C	15	NA	06/01/2013	2	7.142857143	50	6/12/2015	1802	9	2.5	50	2	50	6	0.62	36	2013	6	50	AMAN	8
34-B	15	NA	06/01/2013				6/12/2015	1804	5	2.5					1.06	18	2013			AMAN	9
43-A	15	NA	06/01/2013	6	12.26571429	45.75	6/12/2015	1814	7	2.5	85.86	6	85.86	7	1.33	18	2013	7	45.75	AMAN	8
13-B	15	NA	06/01/2013	2	6.527142857	44.72	6/12/2015	1811	3	2.5	45.69	2	45.69	3	0.83	36	2013	3	44.72	AMAN	8
41	17	NA	05/30/2013	3	12.67428571	49.53	6/12/2015	1830	7	2.5	88.72	3	88.72	7	1.36	18	2013	7	49.53	AMAN	9
46-C	11	NA	06/05/2013	7	7.89	45.89	6/12/2015	1816	3	2.5	55.23	7	55.23	7	1.26	36	2013	7	45.89	AMAN	9
13-D	15	NA	06/01/2013	3	7.265714286	49.82	6/12/2015	1827	3	2.5	50.86	3	50.86	7	0.89	36	2013	7	49.82	AMAN	8
39	11	NA	06/05/2013	2	15.2275	48.25	6/12/2015	1831	12	2.5	60.91	2	60.91	2	2.48	6	2013	2	48.25	AMAN	12
2-B	17	46.49	05/30/2013	1	46.49	46.49	6/12/2015	1846	12	2.5	46.49	1	46.49	1	2.68	6	2013	1	46.49	AMAN	12
16	11	NA	06/05/2013				6/12/2015	1847	3	2.5					1.07	36	2013			AMAN	8
4-D	15	NA	06/01/2013	1	4.443333333	26.66	6/12/2015	1848	9	2.5	26.66	1	26.66	2	0.96	36	2013	2	26.66	AMAN	8
14	9	NA	06/07/2013				6/12/2015	1850	12	2.5					2.22	6	2013			AMAN	12
16-C	15	NA	06/01/2013	3	14.89333333	39.39	6/12/2015	1853	3	2.5	44.68	3	44.68	3	0.97	36	2013	3	39.39	AMAN	8
9-D	17	NA	05/30/2013				6/12/2015	1902	7	2.5					1.60	18	2013			AMAN	9
35-D	13	NA	06/03/2013				6/12/2015	1900	3	2.5					0.92	36	2013			AMAN	8
46	11	NA	06/05/2013	2	6.242857143	43.21	6/12/2015	1904	3	2.5	43.7	2	43.7	6	1.02	36	2013	6	43.21	AMAN	9
12-C	15	NA	06/01/2013	1	5.27	36.64	6/12/2015	1912	5	2.5	36.89	1	36.89	4	1.71	18	2013	4	36.64	AMAN	12
42	11	NA	06/05/2013	2	7.174285714	48.6	6/12/2015	1911	12	2.5	50.22	2	50.22	6	2.04	6	2013	6	48.6	AMAN	12
48	17	NA	05/30/2013	3	6.952857143	48.13	6/12/2015	1924	12	2.5	48.67	3	48.67	7	2.44	6	2013	7	48.13	AMAN	12
34-A	15	NA	06/01/2013				6/12/2015	1927	5	2.5					1.33	18	2013			AMAN	9
14	13	NA	06/03/2013	1	6.754285714	47.28	6/12/2015	1929	12	2.5	47.28	1	47.28	6	2.50	6	2013	6	47.28	AMAN	12
9-E	17	NA	05/30/2013	4	5.597142857	39.18	6/12/2015	1931	7	2.5	39.18	4	39.18	7	1.73	18	2013	7	39.18	AMAN	9
9-B	17	NA	05/30/2013	3	5.764285714	33.29	6/12/2015	1935	7	2.5	40.35	3	40.35	7	1.64	18	2013	7	33.29	AMAN	9
37	13	NA	06/03/2013	2	16.14666667	47.86	6/12/2015	1936	12	2.5	48.44	2	48.44	2	1.49	6	2013	2	47.86	AMAN	9
43-B	15	NA	06/01/2013	5	20.14	49.78	6/12/2015	1939	7	2.5	140.98	5	140.98	7	1.24	18	2013	7	49.78	AMAN	9
36-A	11	NA	06/05/2013	1	1.642857143	10.86	6/12/2015	1942	12	2.5	11.5	1	11.5	6	2.53	6	2013	6	10.86	AMAN	12
36-B	11	NA	06/05/2013				6/12/2015	1945	12	2.5					2.63	6	2013			AMAN	12
22-A	7	NA	06/09/2013	2	8.585714286	46.35	6/12/2015	1946	12	2.5	60.1	2	60.1	6	2.62	6	2013	6	46.35	AMAN	12
43-E	21	NA	05/28/2013				6/14/2013	1600	6	2.6					1.20	18	2013			AMAN	9
16-B	17	NA	06/01/2013				6/14/2013	1558	4	2.6					0.93	36	2013			AMAN	8
25-A	21	NA	05/28/2013				6/14/2013	1604	6	2.6					1.65	18	2013			AMAN	9
13-B	19	NA	05/30/2013				6/14/2013	1606	4	2.6					0.82	36	2013			AMAN	8
9-B	21	NA	05/28/2013				6/14/2013	1613	6	2.6					1.69	18	2013			AMAN	9
16-A	17	25.57	06/01/2013	1	25.57	25.57	6/14/2013	1611	4	2.6	25.57	1	25.57	1	1.28	36	2013	1	25.57	AMAN	9
43-G	21	49.94	05/28/2013	1	8.323333333	49.94	6/14/2013	1620	2	2.6	49.94	1	49.94	6	1.24	18	2013	6	49.94	AMAN	9
16-A	19	3.95	05/30/2013	2	4.322857143	30.26	6/14/2013	1617	4	2.6	30.26	2	30.26	7	1.02	36	2013	7	30.26	AMAN	9
43-C	21	24.36	05/28/2013	5	7.527142857	49.02	6/14/2013	1625	2	2.6	52.69	5	52.69	7	1.13	18	2013	7	49.02	AMAN	9
13-C	19	NA	05/30/2013				6/14/2013	1627	11	2.6					0.86	36	2013			AMAN	8
16-B	19	NA	05/30/2013	1	8.985	17.97	6/14/2013	1633	4	2.6	17.97	1	17.97	1	1.06	36	2013	1	17.97	AMAN	9
23-A	17	NA	06/01/2013				6/14/2013	1637	6	2.6					1.07	18	2013			AMAN	9
35-E	17	NA	06/01/2013				6/14/2013	1641	11	2.6					0.93	36	2013			AMAN	8
41-B	21	34.44	05/28/2013	3	8.478571429	34.44	6/14/2013	1643	2	2.6	59.35	3	59.35	7	1.75	18	2013	7	34.44	AMAN	12
32-B	19	.28000000000000003	05/30/2013	1	4.285714286	29.86	6/14/2013	1649	11	2.6	30	1	30	5	0.63	36	2013	5	29.86	AMAN	8
7-A	19	NA	05/30/2013				6/14/2013	1646	6	2.6					1.29	18	2013			AMAN	9
35-D	17	NA	06/01/2013				6/14/2013	1657	11	2.6					0.81	36	2013			AMAN	8
12	19	NA	05/30/2013	1	24.395	48.79	6/14/2013	1654	6	2.6	48.79	1	48.79	1	1.46	18	2013	1	48.79	AMAN	9
9-D	21	NA	05/28/2013				6/14/2013	1706	2	2.6					1.78	18	2013			AMAN	12
35-C	17	NA	06/01/2013	1	11.0325	44.13	6/14/2013	1701	4	2.6	44.13	1	44.13	1	1.00	36	2013	1	44.13	AMAN	9
34-B	19	9.52	05/30/2013	1	1.527142857	10.34	6/14/2013	1709	2	2.6	10.69	1	10.69	7	1.17	18	2013	7	10.34	AMAN	9
13-G	19	NA	05/30/2013	1	2.464285714	17.25	6/14/2013	1712	11	2.6	17.25	1	17.25	3	0.86	36	2013	3	17.25	AMAN	8
13-F	19	NA	05/30/2013				6/14/2013	1724	4	2.6					1.54	36	2013			AMAN	9
35-F	17	NA	06/01/2013				6/14/2013	1729	4	2.6					0.97	36	2013			AMAN	8
9-E	21	NA	05/28/2013				6/14/2013	1730	2	2.6					1.49	18	2013			AMAN	9
13-A	17	NA	06/01/2013	1	6.45	12.9	6/14/2013	1738	11	2.6	12.9	1	12.9	1	0.78	36	2013	1	12.9	AMAN	8
19-B	21	43.93	05/28/2013	3	8.18	46.77	6/14/2013	1741	6	2.6	49.08	3	49.08	6	1.30	18	2013	6	46.77	AMAN	9
25-B	21	50.03	05/28/2013	4	8.845	50.03	6/14/2013	1746	2	2.6	53.07	4	53.07	6	1.58	18	2013	6	50.03	AMAN	9
16-D	19	NA	05/30/2013	1	20.025	40.05	6/14/2013	1749	11	2.6	40.05	1	40.05	1	0.92	36	2013	1	40.05	AMAN	8
19-A	21	NA	05/28/2013				6/14/2013	1758	6	2.6					1.32	18	2013			AMAN	9
7-C	19	29.75	05/30/2013	3	7.981666667	47.7	6/14/2013	1801	2	2.6	47.89	3	47.89	6	0.79	18	2013	6	47.7	AMAN	8
43-B	19	NA	05/30/2013	1	5.892857143	41.25	6/14/2013	1810	6	2.6	41.25	1	41.25	6	1.29	18	2013	6	41.25	AMAN	9
32-A	19	NA	05/30/2013	2	5.42	37.94	6/14/2013	1808	4	2.6	37.94	2	37.94	3	0.63	36	2013	3	37.94	AMAN	8
7-E	19	1.37	05/30/2013	1	0.252857143	1.37	6/14/2013	1715	6	2.6	1.77	1	1.77	7	1.70	18	2013	7	1.37	AMAN	12
4-A	17	NA	06/01/2013				6/14/2013	1706	11	2.6					0.79	36	2013			AMAN	8
4-B	19	NA	05/30/2013	1	16.625	33.25	6/14/2013	1732	11	2.6	33.25	1	33.25	1	0.75	36	2013	1	33.25	AMAN	8
12-B	17	NA	06/01/2013	1	3.238333333	19.43	6/14/2013	1756	11	2.6	19.43	1	19.43	5	1.58	18	2013	5	19.43	AMAN	9
25-A	19	49.02	05/30/2013	3	12.67166667	49.75	6/14/2013	1751	2	2.6	76.03	3	76.03	6	0.90	18	2013	6	49.75	AMAN	8
34	15	15.04	06/03/2013	2	2.937142857	15.04	6/14/2013	1819	2	2.6	20.56	2	20.56	6	1.20	18	2013	6	15.04	AMAN	9
																				AMAN	
4-A	19	NA	05/30/2013				6/14/2013	1815	4	2.6					0.81	36	2013			AMAN	8
37-B	8	49.05	05/26/2013	5	10.35	49.05	6/2/2013	2020	3	2.3	72.45	5	72.45	7	1.60	6	2013	7	49.05	AMAN	9
9-I	8	17.399999999999999	05/26/2013	3	3.891428571	17.4	6/2/2013	2017	7	2.3	27.24	3	27.24	7	2.06	18	2013	7	17.4	AMAN	12
8	8	49.65	05/26/2013	5	8.327142857	49.65	6/2/2013	2027	3	2.3	58.29	5	58.29	7	2.35	6	2013	7	49.65	AMAN	12
3-I	8	49.68	05/26/2013	2	16.37833333	49.68	6/2/2013	2029	5	2.3	98.27	2	98.27	6	2.15	6	2013	6	49.68	AMAN	9
44-D	8	NA	05/26/2013				6/2/2013	2032	5	2.3					1.83	6	2013	1		AMAN	9
																				AMAN	
42-B	8	NA	05/26/2013	2	3.826190476	43.44	6/2/2013	2044	5	2.3	80.35	6		14	1.68	6	2013	2		AMAN	9
33	8	NA	05/26/2013	1	0.8105	15.39	6/2/2013	2039	3	2.3	16.21	1		12	1.60	6	2013	7		AMAN	9
																				AMAN	
27-B	8	36.21	05/26/2013	4	8.51	36.42	6/2/2013	2048	5	2.3	59.57	4	59.57	6	2.62	6	2013	6	36.42	AMAN	12
11-B	8	40.39	05/26/2013	5	8.241428571	44.15	6/2/2013	2050	5	2.3	57.69	5	57.69	6	2.16	6	2013	6	44.15	AMAN	12
22-A	8	31.65	05/26/2013	4	18.36142857	47.63	6/2/2013	2058	3	2.3	128.53	4	128.53	7	2.98	6	2013	7	47.63	AMAN	12
																				AMAN	
39-A	8	49.96	05/26/2013	4	14.50142857	49.96	6/2/2013	2052	3	2.3	101.51	4	101.51	6	1.95	6	2013	7	49.96	AMAN	12
																				AMAN	
24	8	23.18	05/26/2013	1	23.18	23.18	6/2/2013	2102	5	2.3	23.18	1	23.18	1	2.01	6	2013	1	23.18	AMAN	12
50-C	8	.14000000000000001	05/26/2013	4	5.9	40.72	6/2/2013	2113	3	2.3	41.3	4	41.3	7	3.11	6	2013	7	40.72	AMAN	12
28-D	8	1.73	05/26/2013	3	5.522857143	38.08	6/2/2013	2110	7	2.3	38.66	3	38.66	6	2.76	18	2013	6	38.08	AMAN	12
39-B	8	7.42	05/26/2013	3	4.025714286	13.6	6/2/2013	2121	3	2.3	28.18	3	28.18	7	2.49	6	2013	7	13.6	AMAN	12
																				AMAN	
26	8	NA	05/26/2013				6/2/2013	2131	5	2.3					3.13	6	2013			AMAN	12
43	8	49.12	05/26/2013	5	11.50571429	50.03	6/2/2013	2125	7	2.3	80.54	5	80.54	7	1.33	18	2013	7	50.03	AMAN	9
																				AMAN	
20-C	8	15.57	05/26/2013	4	6.475714286	48.84	6/2/2013	2133	5	2.3	45.33	4	45.33	6	1.52	6	2013	6	48.84	AMAN	9
