ID	PhotoDate	PhotoTime	Cohort	Arm          Upper	Arm          Lower	Leg             Upper	Leg             Lower	Head               Length	Head Width	Trunk Length	Trunk Width	Tail Length	Tail Width	
DSCN3254.JPG	5/29/2013	2213	2	4.49056266	5.11235836	3.183361902	5.642291113	8.24763263	7.879276426	28.57839621	6.938825549	37.04834654	4.612249776	
DSCN3256.JPG	5/29/2013	2214	2	4.460767759	5.710640682	2.888649858	5.051262218	9.428721069	8.54374748	30.77543803	9.665448257	42.73	5.778547309	
DSCN3257.JPG	5/29/2013	2219	2	4.28148222	5.210034645	2.937536553	5.92678142	9.766489697	8.690015017	28.56720784	9.106734651	39.161	5.179500459	
DSCN3258.JPG	5/29/2013	2223	2	4.649735584	5.174520074	3.105360044	4.334772197	8.412218019	8.813603406	25.41736385	9.91697958	33.131	5.782836069	
DSCN3259.JPG	5/29/2013	2226	2	4.980452289	4.609488583	2.806534162	5.666419328	7.491956353	8.362937283	29.95234308	8.373417582	38.062	5.323074675	
DSCN3260.JPG	5/29/2013	2227	2	4.825973477	4.714085383	2.644000756	6.199182285	9.893773244	9.31239604	34.16562256	10.46243385	48.79922476	6.511166178	
DSCN3262.JPG	5/29/2013	2228	2	4.56372096	5.479061325	3.304803322	5.441803561	9.112671288	9.278983781	30.211163	10.82160381	NA	6.242515679	Truncated in picture
DSCN3263.JPG	5/29/2013	2230	2	4.54423811	4.475178767	3.147935355	5.565983112	7.617785768	8.840020645	31.27120042	8.791544859	41.634	5.618539401	
DSCN3266.JPG	5/29/2013	2231	2	4.480188612	4.888010843	3.097	4.443154848	8.114819098	8.277844768	27.93035447	7.047043706	35.03528874	5.160042248	
DSCN3268.JPG	5/29/2013	2232	2	4.10997871	4.444409747	2.651015843	5.437795969	7.387936248	7.899057665	26.34661225	7.597026326	35.83273302	4.615695831	
DSCN3269.JPG	5/29/2013	2238	2	4.853231192	4.149483944	3.464607626	5.083872638	8.2966712	8.395194399	28.8362393	7.12512456	36.87131484	4.576	
DSCN3270.JPG	5/29/2013	2242	2	4.748445219	4.458829443	2.296525419	6.063239068	9.149619063	8.41773188	26.36177695	7.020539153	30.412	4.929001927	
DSCN3271.JPG	5/29/2013	2245	2	5.387740992	4.819685986	2.844270381	4.961267983	9.119781796	9.22195668	32.1714458	9.79539014	42.205	6.144640998	
DSCN3272.JPG	5/29/2013	2246	2	4.343011513	4.794303703	2.895408952	5.118050117	9.822758319	8.721137655	30.10386427	8.73539358	42.076	5.911187783	
DSCN3273.JPG	5/29/2013	2247	2	4.752890489	4.566049058	2.601575292	5.465473173	8.016643313	8.729450899	29.09277305	8.518040737	38.14137996	5.158095094	
DSCN3274.JPG	5/29/2013	2249	2	4.537483003	4.379731727	3.105717308	4.401210061	7.28389216	8.236294434	26.85136753	7.524012892	35.918	5.257429981	
DSCN3307.JPG	6/2/2013	2017	3	4.115676372	5.101589556	3.332360275	5.913434535	8.462795578	8.539710124	28.99601747	8.454435641	35.753	5.26450615	
DSCN3308.JPG	6/2/2013	2020	3	4.330822093	5.108141149	2.997425062	6.221689883	6.638051295	8.072984702	27.45938268	7.287798364	35.27345978	4.393071135	
DSCN3309.JPG	6/2/2013	2024	3	4.864156659	5.294712551	2.925070939	7.005052177	7.891223796	8.581959275	31.64557013	9.460352636	45.069	6.225124738	
DSCN3310.JPG	6/2/2013	2027	3	4.569341747	4.672562145	2.961616619	5.407889884	8.74201121	8.424133071	31.79604757	9.222170027	42.043	5.704265159	
DSCN3311.JPG	6/2/2013	2029	3	4.304121397	4.976335198	2.10920696	6.174313565	9.437060612	9.10272234	28.53928079	8.513981736	38.84521537	5.427317938	
DSCN3312.JPG	6/2/2013	2032	3	4.344038904	4.584640117	3.128774361	4.76068787	7.585279428	8.309641448	27.48722767	8.407481728	37.898	5.009533811	
DSCN3313.JPG	6/2/2013	2039	3	4.141353523	4.936570166	3.374064018	4.824650868	8.04600783	8.190695025	27.15264646	7.32472095	34.27361603	4.740749519	
DSCN3314.JPG	6/2/2013	2044	3	3.818372428	4.198172221	2.62416158	5.258334337	7.886966781	7.398544249	26.40332739	7.020981484	38.92	4.422852586	
DSCN3315.JPG	6/2/2013	2048	3	4.474112761	5.462104082	2.903244564	5.355599033	8.37890327	8.831087419	31.13587057	9.989247219	40.13366145	5.942712175	
DSCN3316.JPG	6/2/2013	2050	3	4.676831085	4.627866571	3.228037329	5.779173384	8.841372857	8.642468282	28.04000401	8.539561815	39.12297586	5.332240242	
DSCN3317.JPG	6/2/2013	2052	3	4.276346338	4.833283149	3.124811834	5.248950085	9.966495272	7.917945251	27.98531876	8.267051772	36.545	4.882971636	
DSCN3318.JPG	6/2/2013	2058	3	4.793195698	5.667758728	3.309655269	6.819708571	10.37364815	9.158445556	34.09014821	10.01653683	41.266	5.899432515	
DSCN3319.JPG	6/2/2013	2102	3	4.676329864	5.245308856	3.400476437	4.987405939	8.027350808	8.4631259	29.49974634	8.268354431	39.453	5.254613687	
DSCN3320.JPG	6/2/2013	2105	3	4.526758222	5.281781707	3.257961479	6.04084365	8.575663531	8.880711514	30.80266133	10.2212399	44.728	5.833569833	
DSCN3321.JPG	6/2/2013	2110	3	4.755203991	5.202730149	2.942408027	6.26448282	8.441391177	8.47308114	31.07427055	9.618494269	45.706	5.595020018	
DSCN3322.JPG	6/2/2013	2113	3	4.368981575	5.355336124	3.760203452	6.258585303	11.27218049	9.217899218	33.55165905	10.42166114	44.439	6.123000082	
DSCN3323.JPG	6/2/2013	2118	3	4.218266587	4.844347221	2.182219512	5.464235903	8.404073417	8.462074687	30.05558298	9.058156601	41.131	5.818438364	
DSCN3324.JPG	6/2/2013	2121	3	4.749202986	5.474351286	3.144980922	6.232794959	8.891542048	8.348649771	30.37609303	10.13482945	43.399	5.939095975	
DSCN3325.JPG	6/2/2013	2125	3	5.12971393	4.781894708	3.296467503	5.478599182	7.861669288	8.057399084	26.90164159	6.44169147	32.18591574	4.276331255	
DSCN3326.JPG	6/2/2013	2131	3	4.882570225	6.057177973	3.865334268	6.217022197	10.45155472	9.368773346	34.65062235	9.818439234	47.38240054	6.273592352	
DSCN3327.JPG	6/2/2013	2133	3	4.272876549	4.294865888	2.414866042	5.99611149	8.8608727	8.140504407	25.25361513	7.871293731	30.513	5.165162727	
DSCN3328.JPG	6/2/2013	2136	3	3.627936328	3.966024962	11.98519257	1.959045941	73.88293857	8.065275817	25.70236553	11.66809706	25.716	2.365277362	
DSCN3329.JPG	6/2/2013	2145	3	4.257473664	4.145054523	2.768332711	4.455206505	8.275846784	8.149126334	26.67029059	6.979683732	34.00102354	4.987563433	
