Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/22/2013	173	1	3	TL	6/21/2013	172	49	49	49_2013_6_21
6/22/2013	173	1	4	TL	6/21/2013	172	102	102	102_2013_6_21
6/22/2013	173	1	5	TL	6/21/2013	172	5A	5A	5A_2013_6_21
6/22/2013	173	1	6	TL	6/19/2013	170	4	4	4_2013_6_19
6/22/2013	173	1	7	TL	6/21/2013	172	4-B	4	4-B_2013_6_21
6/22/2013	173	1	8	TL	6/21/2013	172	35-C	35	35-C_2013_6_21
6/22/2013	173	1	9	TL	6/19/2013	170	10A-A	10A	10A-A_2013_6_19
6/24/2013	175	1	1	TL	6/23/2013	174	106-C	106	106-C_2013_6_23
6/24/2013	175	1	2	TL	6/23/2013	174	117-B	117	117-B_2013_6_23
6/24/2013	175	1	3	TL	6/23/2013	174	12A-C	12A	12A-C_2013_6_23
6/24/2013	175	1	4	TL	6/23/2013	174	4	4	4_2013_6_23
6/24/2013	175	1	5	TL	6/23/2013	174	46-D	46	46-D_2013_6_23
6/24/2013	175	1	6	TL	6/23/2013	174	13A-D	13A	13A-D_2013_6_23
6/24/2013	175	1	7	TL	6/23/2013	174	6-A	6	6-A_2013_6_23
6/24/2013	175	1	8	TL	6/23/2013	174	12A-E	12A	12A-E_2013_6_23
6/24/2013	175	1	9	TL	6/21/2013	172	106-C	106	106-C_2013_6_21
6/24/2013	175	2	2	TL	6/23/2013	174	32-D	32	32-D_2013_6_23
6/24/2013	175	2	3	TL	6/23/2013	174	106-B	106	106-B_2013_6_23
6/24/2013	175	2	5	TL	6/23/2013	174	12A-F	12A	12A-F_2013_6_23
6/24/2013	175	2	6	TL	6/23/2013	174	101-A	101	101-A_2013_6_23
6/24/2013	175	2	7	TL	6/23/2013	174	12A-A	12A	12A-A_2013_6_23
6/24/2013	175	2	8	TL	6/23/2013	174	108-A	108	108-A_2013_6_23
6/24/2013	175	2	9	TL	6/23/2013	174	9A-C	9A	9A-C_2013_6_23
6/28/2013	179	1	1	TL	6/25/2013	176	117-A	117	117-A_2013_6_25
6/28/2013	179	1	2	TL	6/25/2013	176	112	112	112_2013_6_25
6/28/2013	179	1	3	TL	6/27/2013	178	113-B	113	113-B_2013_6_27
6/28/2013	179	1	4	TL	6/25/2013	176	15A-C	15A	15A-C_2013_6_25
6/28/2013	179	1	5	TL	6/27/2013	178	9A-A	9A	9A-A_2013_6_27
6/28/2013	179	1	6	TL	6/27/2013	178	109-A	109	109-A_2013_6_27
6/28/2013	179	1	7	TL	6/25/2013	176	9A-C	9A	9A-C_2013_6_25
6/28/2013	179	1	8	TL	6/27/2013	178	118	118	118_2013_6_27
6/28/2013	179	1	9	TL	6/25/2013	176	110	110	110_2013_6_25
6/30/2013	181	1	1	TL	6/29/2013	180	103-A	103	103-A_2013_6_29
6/30/2013	181	1	2	TL	6/29/2013	180	9A	9A	9A_2013_6_29
6/30/2013	181	1	3	TL	6/29/2013	180	104-A	104	104-A_2013_6_29
6/30/2013	181	1	4	TL	6/29/2013	180	112	112	112_2013_6_29
6/30/2013	181	1	5	TL	6/29/2013	180	106-A	106	106-A_2013_6_29
