ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
13A,6/17/2013,6/30/2013,00:48,3.502941906,4.140502989,3.678221581,4.09936678,2.124769399,5.681282338,2.618971554,4.33932368,11.12026659,7.16342467,20.68783343,6.825858041,26.65456152,4.104082358,1
15A,6/13/2013,6/30/2013,00:26,3.544449887,4.023493507,2.911909511,4.212900426,2.219984234,4.207319574,2.173860161,4.275577622,10.09953742,6.42760243,19.15032169,5.633236015,23.16920985,3.392141654,1
15A,6/19/2013,6/30/2013,08:25,3.624263373,4.301647708,3.354085568,4.182987449,2.088727842,4.804139257,2.239323112,4.737363402,10.24593158,7.009073548,19.55044189,6.699991418,28.30392512,4.167826532,1
16A,6/9/2013,6/29/2013,21:50,3.318776883,4.442501097,3.842547332,4.415956635,1.934109097,4.649999785,2.329428471,4.91154721,10.5868347,6.415662476,19.62078136,6.774883615,26.89394424,3.501800965,1
16B,6/9/2013,6/29/2013,21:01,3.705574449,4.419155236,3.370769052,3.962381733,2.399463482,4.662896632,2.256409759,4.393653264,10.87305633,7.145167948,21.15070743,6.141516507,26.68838538,3.489385333,1
16C,6/9/2013,6/29/2013,20:59,3.807695891,4.695964331,3.524202605,4.332675155,2.551063504,4.915533745,2.280797448,4.950104746,11.65319184,7.109220562,21.13149803,7.053873404,25.47664915,4.099,1
16D ,6/9/2013,6/29/2013,21:09,2.762141922,4.789452787,3.478546967,4.675047379,1.993590229,5.126824066,2.661109543,4.79304517,11.08323026,7.071487114,20.89184956,6.408,25.48408005,3.946827587,1
17A,6/15/2013,6/29/2013,23:43,3.480135917,4.129827599,3.825121175,4.463349639,1.987235517,5.262259971,2.223367941,5.35135964,10.84958677,7.595501103,22.17703256,8.244669793,25.65845377,5.026270387,1
19A,6/15/2013,6/30/2013,00:52,3.12475087,4.357479202,3.544240398,4.00975311,2.093174145,5.346359509,2.726728443,5.021294255,10.89768563,6.82854926,22.08516412,6.783819131,27.3051442,3.997314223,1
19B,6/9/2013,6/30/2013,00:18,3.682890848,4.683845108,4.302642211,4.535370878,2.041916991,5.432517832,2.652460179,5.183142676,12.0745766,7.393461503,22.76460696,6.900086739,35.1582487,4.284566372,1
19C,6/15/2013,6/30/2013,00:56,3.88225875,4.363677921,3.296846979,4.207962571,2.488128815,5.21391446,1.826889433,4.815217648,11.39007379,6.682622988,21.17648283,6.381514084,29.05115325,3.635,1
20AA,6/15/2013,6/29/2013,23:25,3.750750458,4.485811521,2.893946268,4.295277057,2.50315421,5.239536048,2.402698899,5.326500727,10.35395007,7.278193457,23.20846805,7.008210756,28.36782961,4.050143825,1
20AB,6/15/2013,6/30/2013,09:20,3.448713528,4.626249453,4.088169272,4.831991411,1.910667423,6.160822835,2.2800932,5.780235722,12.02709296,7.733296386,22.65093298,7.245733227,32.43250992,4.403368938,1
25A,6/9/2013,6/29/2013,21:57,3.384140807,4.872832852,4.004784389,4.758085329,1.849515072,5.702806677,2.29079986,5.496712654,12.19724305,7.502101372,25.46659532,8.580784113,31.31921482,4.814544838,1
28A,6/9/2013,6/29/2013,21:54,3.007183732,5.231941322,3.767493862,5.839641513,2.715707827,5.619085513,2.014375586,6.152027308,12.66991653,7.719828625,25.08977648,8.534672636,37.01808836,4.860092592,1
32,6/21/2013,6/30/2013,09:41,3.404339877,3.889102724,3.378261239,3.832695266,2.261313999,4.68194938,2.328281985,4.488428344,10.28954076,6.904162802,19.24940012,5.779011767,25.00808845,2.947,1
