ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
32D,6/11/2013,6/29/2013,22:31,,,,,,,,,,,,,,,1
34C,6/5/2013,6/29/2013,20:18,,,,,,,,,,,,,,,1
34D,6/5/2013,6/29/2013,20:17,,,,,,,,,,,,,,,1
35,6/11/2013,6/29/2013,22:33,,,,,,,,,,,,,,,1
35A,6/9/2013,6/29/2013,21:41,,,,,,,,,,,,,,,1
35A,6/13/2013,6/30/2013,09:15,,,,,,,,,,,,,,,1
35A,6/15/2013,6/30/2013,08:42,,,,,,,,,,,,,,,1
35A,6/19/2013,6/29/2013,23:33,,,,,,,,,,,,,,,1
35A,6/21/2013,6/30/2013,08:23,,,,,,,,,,,,,,,1
35B,6/19/2013,6/29/2013,23:29,,,,,,,,,,,,,,,1
35B,6/21/2013,6/30/2013,08:34,,,,,,,,,,,,,,,1
35C,6/21/2013,6/30/2013,10:04,,,,,,,,,,,,,,,1
38,6/11/2013,6/29/2013,22:27,,,,,,,,,,,,,,,1
38A,6/9/2013,6/29/2013,20:47,,,,,,,,,,,,,,,1
38A,6/15/2013,6/30/2013,01:03,,,,,,,,,,,,,,,1
38B,6/9/2013,6/29/2013,21:05,,,,,,,,,,,,,,,1
38B,6/15/2013,6/30/2013,09:59,,,,,,,,,,,,,,,1
38C,6/9/2013,6/29/2013,21:36,,,,,,,,,,,,,,,1
38D,6/9/2013,6/29/2013,20:57,,,,,,,,,,,,,,,1
38E,6/9/2013,6/29/2013,20:50,,,,,,,,,,,,,,,1
38F,6/9/2013,6/29/2013,22:19,,,,,,,,,,,,,,,1
41A,6/15/2013,6/30/2013,10:00,,,,,,,,,,,,,,,1
43A,6/9/2013,6/29/2013,21:56,,,,,,,,,,,,,,,1
43B,6/9/2013,6/29/2013,21:59,,,,,,,,,,,,,,,1
45,6/11/2013,6/29/2013,22:24,,,,,,,,,,,,,,,1
45,6/13/2013,6/30/2013,00:19,,,,,,,,,,,,,,,1
45A,6/9/2013,6/29/2013,21:47,,,,,,,,,,,,,,,1
45A,6/15/2013,6/30/2013,09:26,,,,,,,,,,,,,,,1
45A,6/17/2013,6/30/2013,00:36,,,,,,,,,,,,,,,1
45B,6/15/2013,6/29/2013,23:31,,,,,,,,,,,,,,,1
45B,6/17/2013,6/29/2013,23:24,,,,,,,,,,,,,,,1
45C,6/15/2013,6/30/2013,00:55,,,,,,,,,,,,,,,1
45D,6/15/2013,6/30/2013,09:08,,,,,,,,,,,,,,,1
45E,6/15/2013,6/30/2013,09:12,,,,,,,,,,,,,,,1
45F,6/15/2013,6/30/2013,09:21,,,,,,,,,,,,,,,1
45G,6/15/2013,6/30/2013,00:32,,,,,,,,,,,,,,,1
46,6/11/2013,6/29/2013,22:32,,,,,,,,,,,,,,,1
46A,6/9/2013,6/29/2013,20:42,,,,,,,,,,,,,,,1
46A,6/13/2013,6/30/2013,00:31,,,,,,,,,,,,,,,1
46A,6/15/2013,6/30/2013,09:53,,,,,,,,,,,,,,,1
46A,6/17/2013,6/30/2013,09:28,,,,,,,,,,,,,,,1
46A,6/21/2013,6/30/2013,08:36,,,,,,,,,,,,,,,1
46B,6/9/2013,6/29/2013,21:07,,,,,,,,,,,,,,,1
46B,6/13/2013,6/30/2013,01:02,,,,,,,,,,,,,,,1
46B,6/15/2013,6/30/2013,09:46,,,,,,,,,,,,,,,1
46B,6/21/2013,6/30/2013,09:48,,,,,,,,,,,,,,,1
46C,6/9/2013,6/29/2013,20:48,,,,,,,,,,,,,,,1
46C,6/15/2013,6/30/2013,09:47,,,,,,,,,,,,,,,1
46D,6/9/2013,6/29/2013,21:44,,,,,,,,,,,,,,,1
46E,6/9/2013,6/29/2013,21:38,,,,,,,,,,,,,,,1
46F,6/9/2013,6/29/2013,20:43,,,,,,,,,,,,,,,1
47A,6/9/2013,6/29/2013,21:53,,,,,,,,,,,,,,,1
49,6/13/2013,6/30/2013,00:34,,,,,,,,,,,,,,,1
49A,6/9/2013,6/29/2013,23:40,,,,,,,,,,,,,,,1
49A,6/15/2013,6/30/2013,10:03,,,,,,,,,,,,,,,1
49B,6/9/2013,6/30/2013,00:16,,,,,,,,,,,,,,,1
49C,6/9/2013,6/29/2013,23:32,,,,,,,,,,,,,,,1
49D,6/9/2013,6/29/2013,20:45,,,,,,,,,,,,,,,1
49E,6/9/2013,6/29/2013,21:49,,,,,,,,,,,,,,,1
49F,6/9/2013,6/29/2013,21:46,,,,,,,,,,,,,,,1
