ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
18A,5/26/2013,6/29/2013,10:39,4.07118484,5.093696595,4.033485465,4.34304985,3.157623473,5.391378024,3.355758186,5.270641896,12.17818279,8.198819732,28.5530262,8.606477212,38.77380746,4.867276959,1
18A-A,5/21/2013,6/29/2013,09:45,4.572198596,4.793705248,5.428293747,5.079701763,2.597899344,5.352036061,3.073152453,5.003896482,13.708,9.045,30.05377196,10.01007497,41.3388238,5.956053139,1
18A-A,5/24/2013,6/29/2013,09:21,5.077379344,5.326372875,4.767426245,5.317414785,2.913023344,6.48502313,3.361985425,5.301892587,13.58470353,8.400689734,28.83757557,8.610689926,39.80330946,5.780112456,1
18A-B,5/28/2013,6/29/2013,13:20,4.754749731,5.281132928,3.983446247,4.199482944,3.684969742,4.904153852,3.074285933,5.705814315,13.78639565,9.01,28.253,9.719755141,36.36918582,5.567626604,1
19,6/7/2013,6/29/2013,16:05,4.020452711,4.088932012,3.672297646,4.46360807,2.5307896,5.509852267,3.18284464,4.528991058,11.51989904,7.503269154,24.77467701,8.129281641,32.07607421,4.448418258,1
19A,5/26/2013,6/29/2013,11:15,4.407541265,4.819655174,4.105951899,4.410046939,2.519771815,5.603065054,2.587208921,5.928571919,12.31010203,7.922777606,26.95976916,8.187723737,38.70337645,5.381134174,1
19A-A,5/28/2013,6/29/2013,12:47,4.106058207,5.262548812,4.280878999,5.168661819,2.79776375,5.764151455,3.335257261,5.775571054,13.07760226,8.248669287,27.30070376,9.085551167,39.25310497,4.883397383,1
19A-B,6/9/2013,6/29/2013,12:55,3.889432864,4.536289453,3.707856793,4.467046563,3.2409224,4.416633333,3.136106184,5.754102276,12.53156754,7.783974949,27.27673083,7.615091595,36.21027003,4.998251294,1
20A-A,5/26/2013,6/29/2013,11:23,4.566803696,4.620270555,4.386599708,4.40690549,2.493576548,4.406288347,2.484288429,5.6622273,11.92589552,7.707371082,22.98733062,7.170877004,29.49046553,4.212060066,1
20A-A,6/5/2013,6/29/2013,11:59,4.025872576,3.798889969,3.605113313,3.971492666,2.446553699,4.54835025,2.241325055,4.891038029,10.24778854,6.288,20.48136199,6.571247218,26.52565588,4.110635231,1
20A-D,6/5/2013,6/29/2013,11:57,4.804271641,4.194657555,3.551623432,4.393498151,3.01869177,5.572037778,3.060392295,4.993829092,12.1232181,7.560134523,25.4064296,7.578939834,33.51865415,5.192535893,1
23-A,5/24/2013,6/29/2013,09:11,4.639266537,4.296959506,4.508366667,4.113635132,2.974540637,4.160305037,2.376774495,4.157699003,12.08071525,7.246089428,22.4390672,6.235776856,27.50747871,4.045455351,1
25,6/7/2013,6/29/2013,15:39,4.574925136,4.314075683,3.902143129,4.460243267,3.051523554,4.296297243,2.610649919,5.327551877,11.23561231,7.739658713,23.24244346,7.548140168,29.98473959,5.261,1
27,5/28/2013,6/29/2013,12:15,4.104660035,4.844628056,3.698851849,4.421622553,3.395532506,2.722441551,2.99738436,4.565690528,11.64225498,7.124806594,23.73110031,8.906812505,29.4092651,4.863724088,1
27-2,5/28/2013,6/29/2013,13:21,4.972284183,4.776921603,4.901428465,4.982768909,3.309550574,5.430554023,3.05087594,4.72622746,13.86298846,8.343266147,30.85835462,10.28661018,45.14918144,5.842743362,1
33-A,6/1/2013,6/29/2013,19:12,4.270480652,4.325324612,3.982605805,4.179234858,2.868404609,4.090868367,3.019487539,4.879354875,10.42049178,7.506404998,19.75402665,7.945257768,26.35930115,4.988369273,1
34-A,6/5/2013,6/29/2013,19:11,4.152982663,4.164605263,3.883154645,4.535916225,3.594931988,5.210693332,2.887346533,5.451576653,11.26712998,7.741977138,22.97873669,6.33067453,29.38921877,4.740950327,1
35,6/7/2013,6/29/2013,14:38,4.000400605,3.293837428,3.856913403,3.970314471,2.615208214,3.254479067,2.793877055,3.359675282,10.71589072,7.221389963,20.72010642,6.558162014,24.85667596,4.296519638,1
35-A,6/7/2013,6/29/2013,15:18,3.802591353,3.942187844,4.409763032,4.159832328,3.361081969,4.783102863,3.018361145,4.462338961,10.27198447,6.846218299,20.60577754,5.977883321,20.15615948,3.815298285,1
35-B,6/7/2013,6/29/2013,15:21,3.869883719,3.564828187,3.492907099,3.862900465,2.774310725,4.236271946,2.591138746,4.115580154,10.0914221,6.840263153,21.13916744,6.422522869,24.97622069,4.310823587,1
35-C,6/7/2013,6/29/2013,14:55,3.340533041,3.335715965,3.549123976,3.692332731,1.744133022,4.139174435,2.340923109,3.881015589,9.963186739,6.904346747,20.17325549,6.289677416,23.14742225,4.084967687,1
35-D,6/7/2013,6/29/2013,14:37,4.325158147,3.883293448,4.508509399,3.501122106,2.862819938,4.137786123,2.659510105,4.462936813,12.87353056,7.561741135,19.19115677,6.803494176,23.58487492,4.183215988,1
38-B,6/7/2013,6/29/2013,14:36,4.203961941,4.068537452,4.164130642,4.043152854,2.485430546,4.897115171,2.531553081,4.460928379,10.70825971,7.474300302,23.084,6.824556982,29.49929533,5.042651882,1
46-B,6/5/2013,6/29/2013,15:33,4.127687004,3.824910456,4.147559403,3.796657477,2.430358204,4.220922293,2.145106058,4.723556499,10.37330082,7.230105186,20.60137413,8.105520341,25.64693837,4.442774921,1
49-F,6/9/2013,2/29/2013,21:46,3.671177604,3.533359308,4.531852822,4.413088828,3.118375378,5.29539923,2.920656947,5.110385993,11.77800747,7.861009732,23.70155558,8.042776262,30.11214979,5.014695405,1
